diff_pressure_horizontal,diff_pressure_vertical,diff_pressure_central,time,accel_x,accel_y,accel_z
-23.10000038,1.083333373,268.9166565,4060.3265826872753,0.1484912187,-2.399809599,19.46612167
-23.64999962,1.833333373,270.0499878,4060.3365827034877,-1.010698318,-2.313588858,19.46612167
-28.56666756,-1.399999976,270.6666565,4060.3465827196997,-1.762734413,-0.02874023467,19.46612167
-33.29999924,-2.099999905,275.0833435,4060.356582735912,-4.488266945,1.207089901,19.46612167
-34.04999924,1.716666698,277.0499878,4060.366582752124,-2.241738319,0.04311035201,19.46612167
-29.23333359,6.466666698,276.6000061,4060.3765827683364,-1.647773504,-2.888393641,19.46612167
-27.86666679,10.75,277.6333313,4060.386582784549,-0.89573735,-2.677631855,19.46612167
-25.56666756,12.16666698,278.0166626,4060.396582800761,-3.726650476,0.6706054807,19.04519653
-22.64999962,13.13333321,277.1833191,4060.4065828169732,-2.399809599,1.939965844,17.3543129
-22.51666641,13.11666679,275.7000122,4060.4165828331857,-3.103945494,-0.6370752454,16.94715881
-23.46666718,11.83333302,273.5499878,4060.4265828493976,-2.874023676,-1.245410204,19.46612167
-23.18333244,9.983333588,269.3166809,4060.43658286561,-2.548300982,-2.672842026,19.46612167
-20.51666641,12.63333321,272.7666626,4060.446582881822,-2.265688658,-2.596201181,19.46612167
-25.46666718,12.23333359,277.8833313,4060.4565828980344,-2.735112429,-0.09580078721,18.52787209
-37.66666794,13.4333334,272.5,4060.466582914247,-4.138594151,1.259780288,18.2069397
-49.40000153,20.54999924,272.1000061,4060.476582930459,-4.105063438,-0.5173242688,19.46612167
-49.70000076,20.33333397,273.9500122,4060.486582946671,-3.477568626,-3.314707279,19.46612167
-45.23333359,20.98333359,272.6166687,4060.496582962883,-1.484912157,-2.759062529,19.46612167
-48.43333435,20.33333397,273.8833313,4060.5065829790956,-1.777104616,0.450263679,19.46612167
-58.31666565,15.26666641,273.9666748,4060.516582995308,-3.673960209,1.096918941,16.6932869
-57.63333511,16.41666603,273.6166687,4060.52658301152,-3.429668188,0.2251318395,14.07792568
-52.95000076,18.78333282,277.7666626,4060.5365830277324,-1.638193488,-1.465752006,19.46612167
